epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds
1,0.636888,0.610794,0.611693,0.641991,153.26
2,0.560796,0.706461,0.505091,0.761602,111.96
3,0.472051,0.780867,0.420845,0.827091,102.27
4,0.409795,0.822997,0.365632,0.852238,99.40
5,0.365385,0.850246,0.348308,0.858834,111.50
6,0.332335,0.867837,0.389674,0.819965,148.56
7,0.312733,0.875160,0.293800,0.887515,118.96
8,0.292959,0.885093,0.263076,0.903121,126.86
9,0.273738,0.891729,0.279038,0.888751,285.85
10,0.263075,0.896735,0.285339,0.881979,91.14
